id,P002079,P002080,P002081,P002082,P002083,P002084,P002085
756eda8e05d846f1ab3895cd84dfa358,ādāya buddhyā munipuṃgavebhyo niryātayāmy eṣa saputrakebhyaḥ |gṛhṇantu tan me varadakṣiṇīyā mahākṛpā mām anukampamānāḥ ||6||,我今所獻幷子等 供養最上佛牟尼爲我不捨於大悲 受彼最上之供養,བློ་ཡིས་བླངས་ནས་ཐུབ་པ་སྐྱེས་ཀྱི་མཆོག་། ། སྲས་དང་བཅས་པ་རྣམས་ལ་ལེགས་འབུལ་ན་། །ཡོན་གནས་དམ་པ་ཐུགས་རྗེ་ཆེ་རྣམས་ཀྱིས་། ། བདག་ལ་བརྩེར་དགོངས་བདག་གི་དེ་དག་བཞེས་། །༼༦༽,བློ་ཡིས་བླངས་ནས་ཐུབ་པ་སྐྱེས་ཀྱི་མཆོག་། སྲས་དང་བཅས་པ་རྣམས་ལ་ལེགས་འབུལ་ན་། །ཡོན་གནས་དམ་པ་ཐུགས་རྗེ་ཆེ་རྣམས་ཀྱིས་། ། བདག་ལ་བརྩེར་དགོངས་བདག་གི་འདི་དག་བཞེས་། །,,"je les prends en asprit, je les offre aux Rois-Bouddhas ainsi qu’á leurs fils. Qu’ils acceptent mon offrande, eux qui sons dignes d’offrandès choisies, ayant compassion de moi dans leur extrême miséricorde.","I take in spirit and offer as guerdon to the Supreme Saints and their Sons. Worthy of choicest gifts and great of compassion, may they mercifully accept this of me!"
906bdc42b9ae476e827659f82fc8e9c0,apuṇyavān asmi mahādaridraḥ pūjārtham anyan mama nāsti kiṃcit |ato mamārthāya parārthacittā gṛhṇantu nāthā idam ātmaśaktyā ||7||,我以無福大貧窮 更無纖毫別供養我今思惟爲自他 願佛受斯隨力施,བདག་ནི་བརྩོན་དང་མྱི་ལྡན་བཀྲེན་ཆེན་ཏེ་། ། མཆོད་པའི་ནོར་གཞན་བདག་ལ་ཅི་མ་མཆིས་། །དེས་ན་གཞན་དོན་དགོངས་པའི་མགོན་གྱིས་འདི་། ། བདག་ནི་དོན་སླད་ཉིད་ཀྱི་མཐུས་བཤེས་ཤིག་། །༼༧༽,བདག་ནི་བསོད་ནམས་མི་ལྡན་བཀྲིན་ཆེན་ཏེ་། ། མཆོད་པའི་ནོར་གཞན་བདག་ལ་ཅང་མ་མཆིས་། །དེས་ན་གཞན་དོན་དགོངས་པའི་མགོན་གྱིས་འདི་། ། བདག་གི་དོན་སླད་ཉིད་ཀྱི་མཐུས་བཞེས་ཤིག་། །,,"Car je suis un grand pauvre, étant sans mérite: je n’ai rien d’autre pour ma pūjā! Qu’eux-mêmes, car c’est nécessaire, prennent toutes ces offrandes pour mon propre crédit: les Protecteurs ne pensent qu’au bien du prochain!","I am exceeding poor, and without righteousness; there is naught else for me to offer. So may their care for others’ weal be for my weal, and let the Lords take this in their native grace."
18b972e2d51f42f1a00930c145f0b657,dadāmi cātmānam ahaṃ jinebhyaḥ sarveṇa sarvaṃ ca tadātmajebhyaḥ |parigrahaṃ me kurutāgrasattvāḥ yuṣmāsu dāsatvam upaimi bhaktyā ||8||,我自身施一切佛 以自身等遍一切加被我作上有情 有情恒常佛教化,རྒྱལ་དང་དེའི་སྲས་རྣམས༥བདག་གིས་ནི་། ། ཉིད་ཀྱི་ལུས་ཀུན་གཏན་དུ་འབུལ་བར་བགྱིས་། །སེམས་དཔའ་མཆོག་རྣམས་བདག་གི་ཡོངས་བཞེས་ཤིག་། ། གུས་པས་ཁྱེད་ཀྱི་འབངས་སུ་མཆི་བར་བགྱི་། །༼༨༽,རྒྱལ་དང་དེ་སྲས་རྣམས་ལ་བདག་གིས་ནི་། ། བདག་གི་ལུས་ཀུན་གཏན་དུ་དབུལ་བར་བགྱི་། །སེམས་དཔའ་མཆོག་རྣམས་བདག་ནི་ཡོངས་བཞེས་ཤིག་། ། གུས་པས་ཁྱེད་ཀྱི་འབངས་སུ་མཆི་བར་བགྱི་། །,,"Mais que dis-je? J’ai quelque chose à opprir en effet: je renonce à moi-même et je me donne aux Bouddhas ainsi qu’à leurs fils, tout entier, sans réserve. Prenez possession de moi, Ètres sublimes, je me fais par dévotion votre esclave.","Yea, I give to the Conquerors and their Sons myself entirely. Take me for your chattel, O noble beings; I make myself in love your slave."
1b317c76990e49da89ece45de20403bc,parigraheṇāsmi bhavatkṛtena nirbhīr bhave sattvahitaṃ karomi |pūrvaṃ ca pāpaṃ samatikramāmi nānyac ca pāpaṃ prakaromi bhūyaḥ ||9||,我得如來加被已 化利有情無怖畏過去罪業悉遠離 未來衆罪不復作,བདག་ནི་ཁྱེད་ཀྱིས་ཡོངས་སུ་གཟུང་བས་ན་། ། སྲིད་ན་མྱི་འཇིགས་སེམས་ཅན་ཕན་པ་བགྱིད་། །སྔོན་གྱི་སྡིག་ལས་ཡང་དག་འདའ་བགྱིད་ཅིང་། ། སྡིག་པ་གཞན་ཡང་སླན་ཆད་མྱི་བགྱིད་དོ་། །༼༩༽,བདག་ནི་ཁྱེད་ཀྱིས་ཡོངས་སུ་བཟུང་བས་ན་། ། སྲིད་ན་མི་འཇིག་སེམས་ཅན་ཕན་པ་བརྒྱིད་། །སྔོན་གྱི་སྡིག་ལས་ཡང་དག་འདའ་བགྱིད་ཅིང་། ། སྡིག་པ་གཞན་ཡང་སླན་ཆད་མི་བགྱིད་དོ་། །,,"Devenu votre chose, je n’ai plus rien à craindre icibas; je m’applique au bien du prochain, je dépouille mes anciens péchés, je ne pèche plus désormais.","By being your chattel I am freed from fear in life, and work good for living creatures; I escape my former sins, and do evil no more."
836589000b5e461388f22d1fcd3a2045,ratnojjvalastambhamanorameṣu muktāmayodbhāsivitānakeṣu |svacchojjvalasphāṭikakuṭṭimeṣu sugandhiṣu snānagṛheṣu teṣu ||10||,寶光明處甚適悅 天蓋莊嚴奉眞如水精淸淨復光明 種種妙堂香浴作,ཁྲུས་ཀྱི་ཁང་པ་ཤིན་དུ་དྲི་ཞིམ་པ་། ། ཤེལ་གྱི་ས་གཞི་གསལ་ཞིང་འཚེར་བ༹་བསྟར་། །རིན་ཅེན་འབར་བའི་ཀ་བ་ཡིད་འོང་ལྡན་། ། མུ་ཏིག་འོད་ཆགས་བླ་རེ་བྲེས་པ་དེར་། །༼༡༠༽,ཁྲུས་ཀྱི་ཁང་པ་ཤིན་ཏུ་དྲི་ཞིམ་པ་། ། ཤེལ་གྱི་ས་གཞིགས་ལ་ཞིང་འཚེར་བ་ལྟར་། །རིན་ཆེན་འབར་བའི་ཀ་བ་ཡིད་འོང་ལྡན་། ། མུ་ཏིག་འོད་ཆགས་བླ་རེ་བྲེས་པ་དེར་། ། །,,"Dans des maisons de bain parfumées dont les piliers, brillants de gemmes, ravissent les yeux, aux baldaquins rayonnants et tissés de perles, pravées de cristal limpide et resplendissant,","In their houses of perfumed bathing, with delightful pillars of blazing jewels, with canopies shining with pearls, with their mosaic pavements brilliant and clear;"
ad26c21733fe4c0bb6e3f78570ff4c00,manojñagandhodakapuṣpapūrṇaiḥ kumbhair mahāratnamayair anekaiḥ |snānaṃ karomy eṣa tathāgatānāṃ tadātmajānāṃ ca sagītavādyam ||11||,大寶甁滿盛香水 復著適意諸妙花洗浴如來無垢身 我當讚詠獻歌樂,དེ་བཞིན་གཤེགས་དང་དེའི་སྲས་རྣམས་ལ་། ། རིན་ཆེན་མང་པོའི་བུམ་པ་སྤོས་ཀྱི་ཆུ་། །ཡིད་འོང་ལེགས་པར་བཀང་བ་གླུ་དང་ནི་། ། རོལ་མོར་བཅས་དང་དུ་མས་སྐུ་འཁྲུས་གསོལ་། །༼༡༡༽,དེ་བཞིན་གཤེགས་དང་དེ་ཡི་སྲས་རྣམས་ལ་། ། རིན་ཆེན་བུམ་པ་མང་པོ་སྤོས་ཀྱི་ཆུ་། །ཡིད་འོང་ལེགས་པར་བཀང་བ་གླུ་དང་ནི་། ། རོལ་མོར་བཅས་པ་དུ་མས་སྐུ་ཁྲུས་གསོལ་། །,,"je prépare des milliers de cruches avec les nobles gemmes, pleines d’eau et de fleurs parfumées; je fais le bain des Tathagatas au son des chants et des instruments.","I myself will prepare the bath of the Buddhas and their sons, with the playing of songs, using many water jars encrusted with great jewels and filled with flowers and fragrant waters agreeable to the mind."
0eb2788e71554ebda3d8cd76b6d2a61c,pradhūpitair dhautamalair atulyair vastraiś ca teṣāṃ tanum unmṛśāmi |tataḥ suraktāni sudhūpitāni dadāmi tebhyo varacīvarāṇi ||12||,淸淨香熏上妙衣 用蓋覆彼最上色我今獻此上衣服 願佛慈悲哀納受,དེ་དག་སྐུ་ལ་མཚུང་པ་མྱེད་པའི་གོས་། ། གཙང་ལ་དྲི་རབ་བསྒོས་པས་སྐུའི་ཕྱིའོ་། །དེ་ནས་དེ་ལ་ཁ་དོག་ལེགས་བསྒྱུརད་པའི་། ། ན་བཟའ་ཤིན་དུ་དྲི་ཞིམ་དམ་པ་འབུལ་། །༼༡༢༽,དེ་དག་སྐུ་ལ་མཚུངས་པ་མེད་པའི་གོས་། ། གཙང་ལ་དྲི་རབ་བསྒོས་པས་སྐུ་ཕྱིའོ་། །དེ་ནས་དེ་ལ་ཁ་དོག་ལེགས་བསྒྱུར་བའི་། ། ན་བཟའ་ཤིན་ཏུ་དྲི་ཞིམ་དམ་པ་འབུལ་། །,,"Je frotte leur corps avec des étoffes parfumées immaculées, incomparables. Et je leur donne des cīvaras de choix excellement teints et parfumés.","With garments perfumed, purified of dirt, unequaled, I dry their bodies. Then I give them well-coloured, well-perfumed, choice robes."
7667926318694b2fa8705fab41c7b24a,divyair mṛduślakṣṇavicitraśobhair vastrair alaṃkāravaraiś ca tais taiḥ |samantabhadrājitamañjughoṣalokeśvarādīn api maṇḍayāmi ||13||,種種柔軟妙天衣 彼莊嚴中而最上供養如來幷普賢 及彼文殊觀自在,གོས་བཟང་སྲབ་ལ་འཇམ་པ་སྣ་ཚོགས་དང་། ། རྒྱན་མཆོག་བརྒྱ་ཕྲག་དེ་དང་དེ་དག་གིས་། །འཕགས་པ་ཀུན་དུ་བཟང་དང་འཇམ་དབྱངས་དང་འཇིག་རྟེན་དབང་ཕྱུག་བཅས་ལ་འང་བརྒྱན་པར་བགྱི་། །༼༡༣༽,གོས་བཟང་སྲབ་ལ་འཇམ་པ་སྣ་ཚོགས་དང་། ། རྒྱན་མཆོག་བརྒྱ་ཕྲག་དེ་དང་དེ་དག་གིས་། །འཕགས་པ་ཀུན་དུ་བཟང་དང་འཇམ་དབྱངས་དང་། ། འཇིག་རྟེན་དབང་ཕྱུག་སོགས་ལའང་བརྒྱན་པར་བགྱི་། །,,"Voici des vêtements divins, doux au toucher, lisses, de diverses couleurs; voici des ornements pour parer Samantabhadra, Ajita, Mañjughoṣa, Lokeçvara et les autres Bodhisattvas.","With celestial, delicate, smooth, varied, handsome garments, with choice ornaments; with such as these I adorn Samantabhadra, Ajita, Mañjughoṣa, Lokeśvara, and the rest."
3827be9ca7d24f83a48f66d6b036aa37,sarvatrisāhasravisārigandhair gandhottamais tān anulepayāmi |sūttaptasūnmṛṣṭasudhautahemaprabhojjvalān sarvamunīndrakāyān ||14||,,སྟོང་སུམ་ཀུན་དུ་དྲི་ངག་ལྡང་བ་ཡི་། ། སྤོས་མཆོག་རྣམས་ཀྱི་ཐུབ་དབང་ཀུན་ཀྱི་སྐུ་། །གསེར་སྦྱངས་བཙོ་མ་བྱི་དོར་བྱས་པ་ལྟར་། ། འོད་ཆགས་འབར་བ་དེ་དག་བྱུགས་པར་བགྱི་། །༼༡༤༽,སྟོང་གསུམ་ཀུན་དུ་དྲི་ངད་ལྡང་བ་ཡི་། ། དྲི་མཆོག་རྣམས་ཀྱིས་ཐུབ་དབང་ཀུན་གྱི་སྐུ་། །གསེར་སྦྱངས་བཙོ་མ་བྱི་དོར་བྱས་པ་ལྟར་། ། འོད་ཆགས་འབར་བ་དེ་དག་བྱུག་པར་བགྱི་། །,,"Avec les meilleurs parfums, don’t la suavité se répand dans les trois mille mondes, j’oins le corps des Rois-Bouddhas très dignes d’honneur, pur tresser des guirlandes artistiques!","With the perfumes which pervade all of the three thousand worlds, with the uttermost perfumes, I anoint the bodies of all the great sages, who shine, with a radiance like well-refined, well-polished, and well-cleaned, gold."
b823cd5d0aaa40b6a6b849dcfd9cf2e7,māndāravendīvaramallikādyaiḥ sarvaiḥ sugandhaiḥ kusumair manojñaiḥ |abhyarcayāmy arcyatamān munīndrān sragbhiś ca saṃsthānamanoramābhiḥ ||15||,,ཐུབ་དབང་མཆོད་གནས་མཆོག་ལ་ཡིད་འོང་བའི་། ། མེན་ཏོག་མན་ད་ར་དང་པད་མ་དང་། །ཨུ་དཔ་ལ་ལས་སྩོགས་དྲི་ཞིམ་ཐམས་ཆད་དང་། ། འཕེང་བ་སྤེལ་ལེགས་ཡིད་འོང་རྣམས་ཀྱིས་མཆོད་། །༼༡༥༽,ཐུབ་དབང་མཆོད་གནས་མཆོག་ལ་ཡིད་འོང་བའི་། ། མེ་ཐོག་མ་ནད་ར་དང་པ་དམ་དང་། །ཨུཏཔལ་ལ་སོགས་དྲི་ཞིམ་ཐམས་ཅད་དང་། ། ཕྲེང་བ་སྤེལ་ལེགས་ཡིད་འོང་རྣམས་ཀྱིས་མཆོད་། །,,"Toutes les fleurs, parfumées et charmantes, celles de l’érythrine, de l’indīvara, du jasmin; pour honorer les Rois-Bouddhas très dignes d’honneur, pour tresser des guirlandes artistiques!","With the blossoms of the coral tree, the blue lotus, jasmine, and the like; with all perfumed and delightful flowers, I praise the most praiseworthy best of sages with beautifully formed garlands."
4e03b693de594ca1a63983e3cf1ac4d7,sphītasphuradgandhamanoramaiś ca tān dhūpameghair upadhūpayāmi |bhojyaiś ca svādyair vividhaiś ca peyais tebhyo nivedyaṃ ca nivedayāmi ||16||,,སྤོས་མཆོག་ཡིད་འཕྲོག་དྲི་ངད་ཁྱབ་པའི་། ། བདུག་པའི་སྤྲིན་ཚོགས་རྣམས་ཀྱང་དེ་ལ་འབུལ་། །ཞལ་ཟས་བཟའ་བཏུང་སྣ་ཚོགས་བཅས་པ་ཡི་། ། ལྷ་བཤོས་རྣམས་ཀྱང་དེ་ལ་དབུལ་བར་བགྱི་། །༼༡༦༽,སྤོས་མཆོག་ཡིད་འཕྲོག་དྲི་ངད་ཁྱབ་པ་ཡི་། ། བདུག་པའི་སྤྲིན་ཚོགས་རྣམས་ཀྱང་དེ་ལ་དབུལ་། །ཞལ་ཟས་བཟའ་བཏུང་སྣ་ཚོགས་བཅས་པ་ཡི་། ། ལྷ་བཤོས་རྣམས་ཀྱང་དེ་ལ་དབུལ་བར་བགྱི་། །,,"Jes les encense avec des nuages d’un encens gras, pénétrant, plaisant; je leur offre l’offrande d’aliemnts, mets des deux classes et boissons.","I envelop them with clouds of incense, delighting the mind with dense, expanding aromas; and I offer to them an offering of various moist and dry foods and libations."
c02e892a76da439aa51b26d4f0dd27c3,ratnapradīpāṃś ca nivedayāmi suvarṇapadmeṣu niviṣṭapaṅktīn |gandhopalipteṣu ca kuṭṭimeṣu kirāmi puṣpaprakarān5 manojñān ||17||,,གསེར་གྱི་པད་མ་ཚར་དུ་དངརད་པ་ཡི་། ། རིན་ཅེན་སྒྲོན་མ་རྣམས་ཀྱང་དབུལ་བར་བགྱི་། །ས་གཞི་བསྟརད་པ་སྤོས་ཀྱི་བྱུགས་པ་དེར་། ། མེན་ཏོག་ཡིད་འོང་སིལ་མ་བཀྲམ་པར་བགྱི་། །༼༡༧༽,གསེར་གྱི་པ་དམ་ཚར་དུ་དངར་བ་ཡི་། ། རིན་ཆེན་སྒྲོན་མ་རྣམས་ཀྱང་དབུལ་བར་བགྱི་། །ས་གཟི་བསྟར་བ་སྤོས་ཀྱི་བྱུགས་པ་དེར་། ། མེ་ཏོག་ཡིད་འོང་སིལ་མ་དགྲམ་པར་བྱ་། །,,Je leur offre des lampes en gemmes qui forment des guirlandes dans des lotus d’or; et sur pavements enduits de parfums je répands à profusion de belles fleurs.,I offer them jewel lamps placed in rows on golden lotuses; and on mosaic pavements anointed with perfume I scatter many pleasing flowers.
7e2b2d7137364954a0a6ff1dbe6467c7,pralambamuktāmaṇihāraśobhān ābhāsvarān digmukhamaṇḍanāṃs tān |vimānameghān stutigītaramyān maitrīmayebhyo ’pi nivedayāmi ||18||,,གཞལ་མྱེད་ཕོ་བྲང་བསྟོད་དབྱངས་ཡིད་འོང་ལྡན་། ། མུ་ཏིག་རིན་ཅེན་རྒྱན་འཕྱང་བཛེས་པ་འབར་། །དཔག་ཡས་ནམ་མཁའི་རྒྱན་གྱུརད་དེ་དག་ཀྱང་། ། ཐུགས་རྗེའི་རང་བཞིན་ཅན་ལ་དབུལ་བར་བགྱི་། །༼༡༨༽,གཞལ་མེད་ཕོ་བྲང་བསྟོད་དབྱང་ཡིད་འོང་ལྡན་། ། མུ་ཏིག་རིན་ཆེན་རྒྱན་འཕྱང་མཛེས་འབར་བ་། །དཔག་ཡས་ནམ་མཁའི་རྒྱན་གྱུར་དེ་དག་ཀྱང་། ། ཐུགས་རྗེའི་རང་བཞིན་ཅན་ལ་དབུལ་བར་བགྱི་། །,,"A ces Êtres qui sont tout affection, j’offre, ornés de colliers pendants de perles et de gemmes, d’innombrables palais aériens, lumineux, illuminant les points cardinaux, retentissant de délicieuses louanges.","Celestial clouds delightful as songs of praise, ornamenting the four directions, shining as garlands of gems and pearl necklaces: These also I offer to the Benevolent Ones."
24ff736bda214f96ab5f2958ba8323a4,suvarṇadaṇḍaiḥ kamanīyarūpaiḥ saṃsaktamuktāni samucchritāni |pradhārayāmy eṣa mahāmunīnāṃ ratnātapatrāṇy atiśobhanāni ||19||,,རིན་ཅེན་གདུགས་མཛེས་གསེར་གྱི་ཡུ་བ་ཅན་། ། འཁོར་ཡུག་རྒྱན་གྱི་རྣམ་པ་ཡིད་འོང་བརྒྱན་། །དབྱིབས་ལེགས་བལྟ་བ་སྡུག་པ་བསྒྲེང་བ་ཡང་། ། རྟག་དུ་ཐུབ་པ་རྣམས་ལ་དབུལ་བར་བགྱི་། །༼༡༩༽,རིན་ཆེན་གདུགས་མཛེས་གསེར་གྱི་ཡུ་བ་ཅན་། ། ཁོར་ཡུག་རྒྱན་གྱི་རྣམ་པ་ཡིད་འོང་ལྡན་། །དབྱིབས་ལེགས་བལྟ་ན་སྡུག་པ་བསྒྲེང་བ་ཡང་། ། རྟག་ཏུ་ཐུབ་དབང་རྣམས་ལ་དབུལ་བར་བགྱི་། །,,"Je présente aux grands Munis de hauts parasols de gemmes, incrustés de perles, très beaux, et dont les manches élégants sont en or.","I place before those who are the great sages lofty jewel parasols encrusted with pearls, exceedingly handsome, with pleasingly shaped golden handles."
199c2d45768249c39f459079aaf85cf2,ataḥ paraṃ pratiṣṭhantāṃ pūjāmeghā manoramāḥ |tūryasaṃgītimeghāś ca sarvasattvapraharṣaṇāḥ ||20||,,དེ་ལས་གཞན་ཡང་མཆོད་པའི་ཚོགས་། ། རོལ་མོ་དབྱངས་སྙན་ཡིད་འོང་བ་། །སེམས་ཅན་སྡུག་བསྔལ་ཚིམ་བྱེད་པའི་། ། སྤྲིན་རྣམས་སོ་སོར་གནས་གྱུར་ཅིག་། །༼༢༠༽,དེ་ལས་གཞན་ཡང་མཆོད་པའི་ཚོགས་། ། རོལ་མོ་དབྱངས་སྙན་ཡིད་འོང་ལྡན་། །སེམས་ཅན་སྡུག་བསྔལ་ཚིམ་བྱེད་པའི་། ། སྤྲིན་རྣམས་སོ་སོར་གནས་གྱུར་ཅིག་། །,,"Puissent à partir de cet instant, charme du cæur, joie de toute créature, s’élever les nuages d’adoration que j’offre aux Bouddhas, les nuages de musique, voix et instruments.","Hereafter may delightful clouds of worship arise, and clouds of music and song which thrill all creatures."
0499f3866f5d4067ae57111642d4d5cc,sarvasaddharmaratneṣu caityeṣu pratimāsu ca |puṣparatnādivarṣāś ca pravartantāṃ nirantaram ||21||,,དམ་ཆོས་དཀོན་མཆོག་ཐམས་ཆད་དང་། ། མཆོད་རྟེན་རྣམས་དང་སྐུ་གཟུགས་དང་། །རིན་ཅེན་མེན་ཏོག་ལས་སྩོགས་ཆར་། ། རྒྱུན་མྱི་འཆད་པར་འབབ་པར་ཤོག་། །༼༢༡༽,དམ་ཆོས་དཀོན་མཆོག་ཐམས་ཅད་དང་། ། མཆོད་རྟེན་རྣམས་དང་སྐུ་གཟུགས་ལ་། །རིན་ཆེན་མེ་ཏོག་ལ་སོགས་ཆར་། ། རྒྱུན་མི་འཆད་པར་འབབ་པར་ཤོག་། །,,"Que sur tous les textes de la bonne loi, perles par la lumière et la bienfaisance, sur les stūpas et sur les icones, tombent en pluie sans relâche fleurs, gemmes poudre de santal et vêtements.","Upon all jewels of the true Dharma, shrines, and images, may the rains of flowers, jewels, and such, fall without end."
afc8c35467c04211a0e76283d485b2a8,mañjughoṣaprabhṛtayaḥ pūjayanti yathā jinān |tathā tathāgatān nāthān saputrān pūjayāmy aham ||22||,,ཅི་ལྟར་འཇམ་དཔལ་ལས་སྩོགས་པ་། ། རྒྱལ་བ་རྣམས་ལ་མཆོད་མཛད་པ་། །དེ་བཞིན་བདག་གིས་དེ་བཞིན་གཤེགས་། ། མགོན་པོ་སྲས་བཅས་རྣམས་ལ་མཆོད་། །༼༢༢༽,ཇི་ལྟར་འཇམ་དབྱངས་ལ་སོགས་པས་། ། རྒྱལ་བ་རྣམས་ལ་མཆོད་མཛད་པ་། །དེ་བཞིན་བདག་གིས་དེ་བཞིན་གཤེགས་། ། མགོན་པོ་སྲས་དང་བཅས་རྣམས་མཆོད་། །,,"Comme Mañjughoṣa et les autres Bodhisattvas maîtres des dix terres adorent les Vaingueurs, de même, avec les mêmes résolutions, moi aussi j’adore les Bouddhas tutélaires et la troupe de leurs fils les Bodhisattvas.","As Mañjughoṣa and the others worship the Conquerors, thus I worship the Lord Buddhas and their sons;"
f1c66227d5e44bca8c4cab1bf3d52ad0,svarāṅgasāgaraiḥ stotraiḥ staumi cāhaṃ guṇodadhīn |stutisaṃgītimeghāś ca saṃbhavantv eṣv ananyathā ||23||,,ཡོན་ཏན་རྒྱ་མཚོ་ཅན་དག་ལ་། ། ཞིང་རྡུལ་ཀུན་གྱི་གྲངས་སྙེད་ཀྱིས་།༦། ཕྱག་འཚལ་དབྱངས་ཀྱི་ཡན་ལག་ནི་། ། རྒྱ་མཚོ་སྙེད་ཀྱི་འ་བསྟོད་པས་བསྟོད་། །༼༢༣༽༧,ཡོན་ཏན་རྒྱ་མཚོ་རྣམས་ལ་བདག་། ། བསྟོད་དབྱངས་ཡན་ལག་རྒྱ་མཚོས་བསྟོད་། །བསྟོད་དབྱངས་སྙན་སྤྲིན་དེ་དག་ལ་། །ངེས་པར་ཀུན་དུ་འབྱུང་གྱུར་ཅིག་། །,,"Moi aussi je loue ces océans de vertus avec des louanges, fleuves de notes harmonieuses: que ce soit pour eux, tel qui je l’imagine, un concert multiple de louanges.","and I praise with hymns, with oceans of sound, these Seas of Virtue. Let clouds of singing praise unfailingly arise to them."
974694a8fb264fdd93957e584cbe28c8,sarvakṣetrāṇusaṃkhyaiś ca praṇāmaiḥ praṇamāmy aham |sarvatrādhvagatān buddhān sahadharmagaṇottamān ||24||,,དུས་གསུམ་གཤེགས་པའི་སངས་རྒྱས་ཀུན་། ། ཆོས་དང་ཚོགས་ཀྱི་མཆོག་བཅས་ལ་། །བསྟོད་དབྱངས་སྙནད་པའི་སྤྲིན་དག་ཀྱང་། ། ངེས་པར་ཀུན་དུ་འབྱུང་གྱུར་ཅིང་། །༼༢༤༽༨,དུས་གསུམ་གཤེགས་པའི་སངས་རྒྱས་ཀུན་། ། ཆོས་དང་ཚོགས་ཀྱི་མཆོག་བཅས་ལ་། །ཞིང་རྡུལ་ཀུན་གྱི་གྲངས་སྙད་ཀྱི་། ། ལུས་བཏུད་པ་ཡིས་བདག་ཕྱག་འཚལ་། །,,"Autant il y a d’atomes dans tous le «champs de Bouddha» de l’univers, autant de fois je me prosterne devant tous les Bouddhas de passé, du présent et de l’avenir, devant la Loi, devant l’excellente Congrégation.","With as many obeisances as there are atoms in all the Domains I adore all the Enlightened Ones of the past, present, and future, the Law, and the noble Congregation."
68a97eb9560642f29fafe4ad88a9c06c,sarvacaityāni vande ’haṃ bodhisattvāśrayāṃs tathā |namaḥ karomy upādhyāyān abhivandyān yatīṃs tathā ||25||,,བྱང་ཅུབ་སེམས་ཀྱི་གཞི་རྣམས་དང་། ། མཆོད་རྟེན་ཀུན་ལ་བདག་ཕྱག་འཚལ་། །མཁན་པོ་དེ་བཞིན་སློབས་དཔོན་དང་། ། བརྟུལ་ཞུགས་མཆོག་ལ་ཕྱག་འཚལ་ལོ་། །༼༢༥༽,བྱང་ཆུབ་སེམས་ཀྱི་གཞི་རྣམས་དང་། ། མཆོད་རྟེན་རྣམས་ལ་བདག་ཕྱག་འཚལ་། །མཁན་པོ་དེ་བཞིན་སློབ་དཔོན་དང་། ། བརྟུལ་ཞུགས་མཆོག་ལ་ཕྱག་འཚལ་ལོ་། །,,"Je salue tous les stūpas qu’ils contiennent ou non des reliques, tous les lieux qu’a sanctifiés le futur Bouddha Çākyamuni au cours de ses naissances successives. Je rends hommage aux maîtres venérables et aux ascètes.",I worship all the memorial-sanctuaries and the dwellings of the Son of the Enlightened; I salute the preceptors and the worshipful holy men.
0b2f373e280c4bec9092aab1b9e55258,buddhaṃ gacchāmi śaraṇaṃ yāvad ā bodhimaṇḍataḥ |dharmaṃ gacchāmi śaraṇaṃ bodhisattvagaṇaṃ tathā ||26||,,བྱང་ཅུབ་སྙིང་པོར་མཆིས་ཀྱི་བར་། ། སངས་རྒྱས་རྣམས་ལ་སྐྱབས་སུ་མཆི་། །ཆོས་དང་བྱང་ཅུས་སེམས་དཔའ་ཡི་། ། ཚོགས་ལ་ཡང་དེ་བཞིན་སྐྱབས་སུ་མཆི་། །༼༢༦༽,བྱང་ཆུབ་སྙིང་པོར་མཆིས་ཀྱི་བར་། ། སངས་རྒྱས་རྣམས་ལ་སྐྱབས་སུ་མཆི་། །ཆོས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཡི་། ། ཚོགས་ལའང་དེ་བཞིན་སྐྱབས་སུ་མཆི་། །,,"Je prends refuge dans le Bouddha, j’observe sa loi jusqu’à la possession de la suprême illumination; je prends refuge dans la Loi et dans la troupe excellente des Bodhisattvas.","I take refuge with the Enlightened One, awaiting the coming of the perfect Light; I take refuge in the Law and the Congregation of sons of Enlightenment."
1792aaa4d2b345cda010f7b30b1141b1,vijñāpayāmi saṃbuddhān sarvadikṣu vyavasthitān |mahākāruṇikāṃś cāpi bodhisattvān kṛtāñjaliḥ ||27||,,ཕྱོགས་རྣམས་ཀུན་ན་བཞུགས་པ་ཡི་། ། རྫོགས་སངས་རྒྱས་དང་བྱང་ཅུབ་སེམས་། །ཐུགས་རྗེ་ཆེན་པོ་མངའ་རྣམས་ལ་། ། ཐལ་མོ་སྦྱར་ཏེ་གསོལ་བ་ནི་། །༼༢༧༽,ཕྱོགས་རྣམས་ཀུན་ན་བཞུགས་པ་ཡི་། ། རྫོགས་སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་། །ཐུགས་རྗེ་ཆེན་པོ་མངའ་རྣམས་ལ་། ། ཐལ་མོ་སྦྱར་ཏེ་གསོལ་བ་ནི་། །,,"J’invoque les parfaits Bouddhas qui résident dans toutes les régions, les Bodhisattvas de grande miséricorde; je me mets en leur présence et, prosterné, je leur dis:",With clasped hands I make supplication to the Enlightened Ones dwelling in all regions and to the most merciful Sons of Enlightenment.
