id,P000850,P000851
97562c68569241d38851e9850b264c3f,དེ་ནས་སངས་རྒྱས་ཀྱི་མཐུས་སྐད་ཅིག་དེ་དང་། ཡུད་ཙམ་དེ་ལ་ས་རྡུལ་གྱི་ཁང་པ་བརྩེགས་པ་དེ་རིན་པོ་ཆེ་སྣ་བདུན་ལས་གྲུབ་པའི་ཁང་པ་བརྩེགས་པ་ཞིག་ཏུ་གྱུར་ནས་། བཅོམ་ལྡན་འདས་ཀྱི་སྤྱན་སྔ་ན ༼༧༽ འདུག་པར་གྱུར་ཏེ་།,"Then, at that moment, at that very instant, the sandcastle in front of the Buddha was transformed by his power into a castle made of the seven kinds of jewels."
8526638ce06a49dfbdb74d74582c1994,དེའི་ཤར་ཕྱོགས་ཀྱི་ངོས་སུ་ནི་གསེར་གྱི་ཀ་བ་བརྒྱད་ཁྲི་བཞི་སྟོང་ཟུག་པར་གྱུར་། ལྷོ་ཕྱོགས་ཀྱི་ངོས་སུ་ནི་དངུལ་གྱི་ཀ་བ་བརྒྱད་ཁྲི་བཞི་སྟོང་ཟུག་པར་གྱུར་། ནུབ་ཕྱོགས་ཀྱི་ངོས་སུ་ནི་བཻ་དūར་ཡའི་ཀ་བ་བརྒྱད་ཁྲི་བཞི་སྟོང་ཟུག་པར་གྱུར་། བྱང་ཕྱོགས་ཀྱི་ངོས་སུ་ནི་ཤེལ་གྱི་ཀ ༼༢༠༠བ༡༽ པ་བརྒྱད་ཁྲི་བཞི་སྟོང་ཟུག་པར་གྱུར་ཏོ་༎,"The castle had 84,000 golden pillars on its eastern side, 84,000 silver pillars on its southern side, 84,000 pillars of baiḍūrya on its western side, and 84,000 pillars of crystal on its northern side."
8a09f346ab664f01bdb6bc5a8b4df137,དེ་ནས་དེའི་ཚེ་ཁྱེའུ་ཚངས་པའི་དཔལ་གྱིས་རྫུ་འཕྲུལ་གྱི་ཆོ་འཕྲུལ་དེ་མཐོང་ནས་ལྷག་པར་ཡང་ཆེས་དགའ་བ་དང་། མཆོག་ཏུ་དགའ་བ་རྒྱ་ཆེན་པོ་སྐྱེས་པར་གྱུར་ཏོ་༎,"When the boy Brahmaśrī saw this marvel, he became even more delighted, and great joy arose in him."
5a78bfd01ad44ad390aa404c1f855205,དེ་ནས་བཅོམ་ལྡན་འདས་ལ་ཁྱེའུ་ཚངས་པའི་དཔལ་གྱིས་ཚིགས་སུ་བཅད ༼༢༽ པ་འདི་དག་གསོལ་ཏོ་༎,Then he broke into verse:
028f4f1ae70745a39fea6ff9334ecd78,ཀྱེ་མ་འཇིག་རྟེན་མགོན་པོ་ཡིས་༎ རྫུ་འཕྲུལ་ཤིན་ཏུ་རྒྱ་ཆེན་བསྟན་༎ བདག་ཉིད་ལ་ནི་ཐུགས་བརྩེའི་ཕྱིར་༎ སངས་རྒྱས་ཀྱིས་ནི་རྫུ་འཕྲུལ་བསྟན་༎ ༡་༎,"1. O, the Savior of the worldHas displayed a magnificent prodigyOut of compassion for meThe Buddha has displayed a miracle."
1ad0e9f5b9294bb19f98e9256124ad23,དྲང་སྲོང་ཆེ་ལ་བདག་གིས་ནི་༎ ས་རྡུལ་ཁང་བརྩེགས་ཕུལ་བ་དེ་༎ རིན་པོ་ཆེ་ལས་གྲུབ་པར་གྱུར་༎ ཀྱེ་མ ༼༣༽ སངས་རྒྱས་བསམ་མི་ཁྱབ་༎ ༢་༎,"2. The sandcastleThat I offered to the Great SageHas been transformed into jewelsO, how inconceivable is the Buddha."
44938fc9aa1941089327c4ae17b7b7ad,ཀྱེ་ཀྱེ་ཞིང་ནི་འདི་འདྲ་བ་༎ སངས་རྒྱས་ཞིང་ནི་བླ་མེད་པ་༎ མིག་མེད་མིག་ནི་ཉམས་པ་དང་༎ ཤེས་རབ་ཆུང་ངུས་མི་ཤེས་སོ་༎ ༣་༎,"3. O, O, such a field is this.The field of the Buddha is unsurpassed.The blind, those with no vision, and those of little wisdomCannot conceive of this."
13647254cc0044f5bdbe051098beca2d,རྐང་གཉིས་དམ་པ་འགྲོ་བའི་ཞིང་༎ འདི་ནི་བདག་གིས་རྙེད་པ་དང་༎ དལ་བ་རབ་དཀོན་ཐོབ་པས་ན་༎ བྱང་ཆུབ་ཏུ་ནི་སྨོན་ལམ ༼༤༽ གདབ་༎ ༤་༎,"4. The Best of Men is the field for sentient beings.This field has been obtained by me.Having gained this rare opportunity,I plant the seeds of Awakening."
70378cf98724451eb6b6dbccaa184f30,བདག་ཀྱང་འདྲེན་པ་ཁྱོད་ཀྱི་ནི་༎ ཡོན་ཏན་རྗེས་སུ་སློབ་པར་འཚལ་༎ བླ་མེད་བྱང་ཆུབ་ཐོབ་ནས་ནི་༎ རྫུ་འཕྲུལ་འདི་འདྲ་བདག་གིས་བགྱི་༎ ༥་༎,"5. O guide, I aspire to develop your qualities.When I have attainedUnsurpassed Awakening,I will perform such marvels."
479c516c96794c9eb62ccaabb8872dd7,དེ་ནས་དེའི་ཚེ་བཅོམ་ལྡན་འདས་ཀྱིས་འཛུམ་པ་མཛད་ནས་བཅོམ་ལྡན་འདས་ཀྱི་ཞལ་གྱི་སྒོ་ནས་འོད་ཟེར་ཁ་དོག་སྣ་ཚོགས་འདི་ལྟ་སྟེ་། ༼༥༽ སྔོན་པོ་དང་། སེར་པོ་དང་། དམར་པོ་དང་། དཀར་པོ་དང་། བཙོད་ཀ་དང་། ཤེལ་གྱི་ཁ་དོག་དང་། དངུལ་གྱི་ཁ་དོག་ལྟ་བུ་དག་བྱུང་ངོ་༎,"Then the Blessed One smiled, and rays of color blazed from his mouth: blue, yellow, red, white, crimson, crystal and silver."
ed8282d9d2324f618877e2e8b2fd9721,དེ་དག་བྱུང་ནས་ཚངས་པའི་འཇིག་རྟེན་གྱི་བར་དུ་སོང་སྟེ་། ཡང་སླར་ལོག་ནས་བཅོམ་ལྡན་འདས་ལ་ལན་གསུམ་བསྐོར་བ་བྱས་ཏེ་། བཅོམ་ལྡན་འདས་ཀྱི ༼༦༽ དབུའི་གཙུག་ཏོར་དུ་ནུབ་པར་གྱུར་ཏོ་༎,"These rays, having blazed forth, rose as far as the Brahmaloka, returned, circled the Blessed One three times, and vanished into the crown of his head."
1be0cdeb70b24b6ca839f8500848020d,དེ་ནས་བཅོམ་ལྡན་འདས་ལ་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོས་ཚིགས་སུ་བཅད་དེ་གསོལ་པ་།,Then Ānanda spoke to the Blessed One in verse:
9134c55926f24c51814c6aabf12fca77,རྒྱལ་མཆོག་འདྲེན་པ་འགྲོ་བའི་གཙོ་བོ་རྣམས་༎ རྒྱུ་མ་མཆིས་པར་འཛུམ་པ་མི་མཛད་ན་༎ ཐུགས་རྗེ་ལྡན་པ་འཇིག་རྟེན་སྨན་སྨད་དུ་༎ དེང་འདིར་ཅི་ཕྱིར་འཛུམ ༼༧༽ མཛད་བདག་ལ་གསུངས་༎ ༦་༎,"6. The Supreme Conquerors, the Leaders, the Best of Men,Do not smile without reason.Compassionate One, for the benefit the world,Explain to us now why you have smiled."
bde738b523e245e7bea260ec87128a24,དེ་སྐད་ཅེས་གསོལ་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ་༎ ཀུན་དགའ་བོ་ཁྱོད་ཀྱིས་ཁྱེའུ་ཚངས་པའི་དཔལ་འདི་མཐོང་ངམ་།,"The Blessed One replied to the Venerable Ānanda: Ānanda, do you see this boy, Brahmaśrī?"
c1dbbcd193344b6e83b77769cc662232,གསོལ་པ་བཅོམ་ལྡན་འདས་མཐོང་ལགས་སོ་༎,He answered: I see him.
1cf897fa9e204c6fb4ac90eac0b94e5c,བཅོམ་ལྡན་འདས་ཀྱིས ༼༢༠༡ཨ༡༽ བཀའ་སྩལ་པ་། ཀུན་དགའ་བོ་ཁྱེའུ་འདི་དགེ་བའི་རྩ་བ་འདི་དང་། སེམས་ཀྱི་སྨོན་པ་འདིས་ནི་བསྐལ་པ་སུམ་སྟོང་ཉིས་བརྒྱའི་བར་དུ་ནམས་ཀྱང་སེམས་ཅན་དམྱལ་བར་འགྲོ་བར་མི་འགྱུར་རོ་༎,"The Blessed One said: Ānanda, this boy, because of his aspiration and his roots of virtue, will not go to the hell-realms for 3,200 eons."
34bc635dd6554c2591316a88c6e55995,དེས་བྱང་ཆུབ་བསྒྲུབས་ནས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག ༼༢༽ པར་རྫོགས་པའི་སངས་རྒྱས་འཇིག་རྟེན་ཐམས་ཅད་ལས་མངོན་པར་འཕགས་པ་ཞེས་བྱ་བར་འགྱུར་རོ་༎ ཞེས་གསུངས་སོ་༎,"When he has attained Awakening, he will become a Tathāgata, an Arhant, a Fully Awakened Buddha named *Sarvalokābhyudgata, ""He who has Transcended the Entire World""."
dfe1949844d140bdaf763b5ce6870a2b,དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་བཀའ་སྩལ་ཏོ་༎,The Blessed One then spoke these verses:
bbbf22166cf04f4eba9a8a7815c99753,སངས་རྒྱས་ལ་ནི་དད་པ་ཡིས་༎ བསོད་ནམས་ཆུང་ངུ་སྐྱེ་མི་འགྱུར་༎ ཆོས ༼༣༽ མཆོག་ཐོས་དང་དགེ་འདུན་ལ་༎ གུས་པར་བྱས་པའང་དེ་བཞིན་ནོ་༎ ༧་༎,7. No small merit is producedby having faith in the Awakened Ones.The same is true of listening to the Supreme DharmaAnd of honoring the Saṅgha.
22b394085c1747faa06b79fd90313f3f,སངས་རྒྱས་ལ་ནི་དད་པ་ལ་༎ བྱང་ཆུབ་ཐོབ་པར་དཀའ་བ་མེད་༎ དེ་ཕྱིར་བྱང་ཆུབ་འདོད་པས་འདིར་༎ འཇིག་རྟེན་འདྲེན་རྣམས་མཆོད་པར་བྱ་༎ ༨་༎,8. For one with faith in the BuddhaAwakening is not hard to obtain.Therefore those who seek Awakening hereShould make offerings to the Guides of the World.
fb0f19e68b00484aa2a3296717bd43ac,ཀུན་དགའ་ཁྱེའུ་འདི་རྐང་གཉིས་ཀྱི་༎ མཆོག་སྟེ་དཔལ་དང་ལྡན་པ ༼༤༽ ཡི་༎ མངོན་པར་འཕགས་པ་ཞེས་བྱ་བ་༎ འཇིག་རྟེན་གྱི་ནི་འདྲེན་པར་འགྱུར་༎ ༩་༎,"9. Ānanda, this boy will becomethe Best of Men, A Guide of the Worldnamed *Abhyudgata,Glorious One."
dfd1d1e0cd9740aca99457148cc8545e,དེ་ལྟར་སངས་རྒྱས་བསམ་མི་ཁྱབ་༎ སངས་རྒྱས་ཆོས་ཀྱང་དེ་བཞིན་ཏེ་༎ བསམ་མི་ཁྱབ་ལ་དད་པ་ཡི་༎ རྣམ་པར་སྨིན་པའང་དེ་བཞིན་ནོ་༎ ༡༠་༎,"10. The Buddhas are inconceivable.So too is their Dharma,And the ripening of the deedsOf those with faith in the inconceivable."
be65fdff22514120866ef16cbd239552,བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས་། ཚེ་དང ༼༥༽ ལྡན་པ་ཀུན་དགའ་བོ་དང་། ཁྱེའུ་ཚངས་པའི་དཔལ་བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་ཡི་རངས་ཏེ་མངོན་པར་བསྟོད་དོ་༎ ༎,"When the Blessed One had pronounced this teaching, the Venerable Ānanda, and the boy Brahmaśrī were delighted, and praised his words highly."
9b074c159ee94851b8609e2dabaf7a3f,འཕགས་པ་ཚངས་པའི་དཔལ་ལུང་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ་རྫོགས་སོ་༎ ༎,The exalted sūtra of the Great Vehicle entitled The Prediction Regarding Brahmaśrī is completed.
512229a8bbb04217afa975be218324c8,རྒྱ་གར་གྱི་མཁན་པོ་བིཤུདདྷསིངཧ་དང་། ལོཙཚ་བ ༼༦༽ བནདེ་དགེ་བ་དཔལ་གྱིས་བསྒྱུར་། རྒྱ་གར་གྱི་མཁན་པོ་བིདྱཱཀརསིངཧ་དང་། ཞུ་ཆེན་གྱི་ལོཙཚ་བ་བནདེ་དེབ་ཙནདྲས་ཞུས་ཏེ་གཏན་ལ་ཕབ་པ་།,"Translated by the Indian preceptor Biśuddhasiṅha and the translator Bande Dge ba dpal; checked and finalized by the Indian preceptor Bidyākarasiṅha and the master editor, the translator Bande Debacandra."
