id,P001786,P001787,P001788,P001789,P001790,P001791
c213de4baeba4e8fb202a214d2ea861f,,-,,བསྣོར་ན་བདེ་ཞིང་གོ་བ་བསྐྱེད་པ་ཅིག་ཡོད་ན་། ཚིགས་བཅད་ལ་ནི་རྩ་བ་བཞི ༼༣༽ པའམ་། དྲུག་པ་འང་རུང་སྟེ་། ཚིགས་སུ་བཅད་པ་གཅིག་གི་ནང་ན་གང་བདེ་བ༢བསྣོར་ཞིང་སྒྱུར་ཅིག་།,"11. If one has to deviate from the original word order to produce good usage and intelligibility, one can deviate and translate in a pleasing manner, but only within a single stanza. As far as the meter is concerned, it should consist of four lines, or six if required.",-
cd546a04ecdc41ba9c0a1789fb26268f,,-,,རྐྱང་པ་ལ་ནི་དོན་གང་སྙེགས་པ༣ཡན་ཆད་ཀྱི་ཚིག་དང་དོན་གཉིས་ཀ་ལ་གར་བདེ་བར་བསྣོར་ཞིང་སྒྱུར་ཅིག་།,"12. In prose, as long as one arrives at the required meaning, one may deviate from the original word order for the sake of good usage while taking both the words and meaning into consideration, and one should translate accordingly.",-
7d4c5bf2bd1f40ba95e9e0083d1a1c4c,,-,,སྐད་གཅིག་ལ་མིང་དུ་མར་འདྲེན་པ་ནི་ལྟག་འོག་དང་བསྟུན་ལ་གར་སྙེགས་པ་བཞིན་དུ་མིང ༼༤༽ ཐོགས་ཤིག་།,"13. When it is possible to interpret one equivocal word in Indian with many Tibetan words, one should strive, in the definition, to make the translation agree with the context, namely the words which come before and after.",-
497f3e414e9c4a829b36dc5b4ecdb9e2,,-,,གཽཏམྱ་ལྟ་བུ་གཽའི་སྒྲ་ལས་ཚིག་དང་། ཕྱོགས་དང་། ས་དང་། འོད་དང་། རྡོ་རྗེ་དང་། བ་ལང་དང་། མཐོ་རིས་ལ་སོགས་པ་རྣམ་པ་དུ་མར་སྙེགས་པ་དང་། ཀཽཤིཀ་ལྟ་བུའི་རཙབ༹་ཀུཤ་ཐོགས་པ་དང་། མཁས་པ་དང་། པདམ་ལ་དགའ་བ་དང་། འུག་པ་དང་། མཛོད་ལྡན་ལ་སོགས་པའི་སྒྲའི ༼༥༽ ལུགས་ལས་དྲངས་ཤིང་བསྒྱུར་ན་སྣ་གྲངས་མང་པོ་ཞིག་ཏུ་སྙེགས་ལ་།,"14. As in the word gautamya, from the sound gau one attains a number of entities: “speech”, “geographic area”, “earth”, “light”, “vajra”, “bull”, “heaven”, etc.; and when one interprets a word like kauśika sound-wise as “having to do with kuśa-grass”, “learned”, “liking lotuses”, “owl”, “equipped with a treasure”, and so on, in the process of translating you attain a multiple list of Tibetan words.",-
539dd20a98614368b69eed5dc26e22bc,,-,,བསྒྱུར་བ་རྣམས༤གཅིག་གི་ནང་དུ་ནི་སྣ་གྲངས་དེ་ཀུན་འདུར་ཡང་མི་བཏུབ་སྟེ་། གཅིག་ཏུ་ཆད་པར་བྱར་ཡང,"15. As it is not possible to unite that multiple list of meanings into one Tibetan word-form in the process of translation, one has to decide for one equivalent.",-
165f27d45ed24bdf8433219593a0a4c2,,-,,གཏན་ཚིགས་ཆེན་པོ་མེད་པ་རྣམས་ནི་མི་བསྒྱུར་བར་རྒྱ་གར་སྐད་སོ་ན་ཞོག་ཅིག་།,"16. But if there is no major reason to choose any of the possible Tibetan equivalents, one may leave the Indian term untranslated, and use the Indian word.",-
cbcb901698194253bcb464dca675b051,,-,,གར་ཡང་དྲང་དུ་རུང་བའི་ཚིག་བྱུང་ན་། ཕྱོགས ༼༦༽ གཅིག་ཏུ་ཆད་པར་མི་བསྒྱུར་བར་སྤྱིར་སྙེགས་སུ་རུང་བར་གྱིས་ཤིག་།,"17. But wherever there is a Tibetan expression with a suitable equivocal interpretation, you should render it in accordance with its general and equivocal sense, and not translate with a generally employed Tibetan expression, deciding for only one direction of meaning.",-
450bdb0e0b724e02b2bf3f7b092c09a8,,-,,ཡུལ་དང་། སེམས་ཅན་དང་། མེ་ཏོག་དང་། རྩི་ཤིང་ལ་སོགས་པའི་མིང་བསྒྱུར་ན་ཡིད་གོལ་ཞིང་ཚིག་མི་བདེ་བ་དང་། འོལ་ཕྱིར་བསྒྱུར་དུ་རུང་བ་དོན་དུ་དེ་ལྟར་ཡིན་ནམ་མ་ཡིན་གཏོལ་མེད་པ་རྣམས་ལ་། མགོ་ལ་ཡུལ་ཞེ་འམ་། མེ་ཏོག ༼༧༽ ཅེས་པ་ལ་སོགས་པ་གང་ལ་བྱ་བའི་མིང་གཅིག་བླ་ཐབས་སུ་སྣོན་ལ་རྒྱ་གར་སྐད་སོ་ན་ཞོག་ཅིག་།,"18. If one translates names of countries, living beings, flowers, trees, and so on, and the possible translations are counter-intuitive, not good usage, imprecise, and as such the object of doubt: “Should they really be like this or not,” – which should be avoided – then one may keep the Indian term and preface it with a single Tibetan word “country” or “flower”  and so on as applicable to that case as a classifier – whatever class of things the word in question refers to.",-
d7aedb6dca444e8fb2c4eaa56ce315b3,,-,,གྲངས་ལ་རྒྱ་གར་སྐད་བཞིན་དུ་བསྒྱུར་ན་དགེ་སློང་བརྒྱ་ཕྲག་ཕྱེད་དང་བཅུ་གསུṃ་ཞེས་འབྱུང་བ་ལ་སོགས་པ་ནི་སྟོང་ཉིས་བརྒྱ་ལྔ་བཅུ་ཞེས་ཐ་མལ་པར་བོད་ཀྱི་སྐད་བཞིན་བསྒྱུར་ན་དོན་དང་ཡང་མི་འགལ་བ་བོད་ཀྱི་སྐད ༼༡༣༢བ༡༽ ལ་ཡང་བདེ་བས་གྲངས་བསྡོམ་དུ་རུང་བ་རྣམས་བོད་སྐད་ཀྱི་ལུགས་བཞིན་དུ་ཐོགས་ཤིག་།,"19. When it concerns numbers, if one translates according to the Indian language, one will have “Monk-hundreds, thirteen less a half hundred = 1250”, but if one translates in accordance with the ordinary Tibetan language “thousand two-hundred and fifty”, it is not in disaccord with the meaning, and it is also in accordance with good Tibetan usage – thus suitable summing numbers should be established in accordance with the principles of the Tibetan language.",-
87f10ca9689748a6a39da5226770a30f,,-,,པརི་དང་། སམ་དང་། ཨུཔ་ལྟ་བུ་ལ་སོགས་ཏེ་། ཚིག་གི་ཕྲད་དང་རྒྱན་ལྟ་བུར་འབྱུང་བ་རྣམས་བསྒྱུར་ན་དོན་དང་མཐུན་ཞིང་འབྱོར་བའི་ཐབས་ནི་། ཡོངས་སུ་ཞེ་འམ་། ཡང་དག་པ་ཞེ་འམ་། ཉེ་བ་ཞེས་སྒྲ་བཞིན ༼༢༽ དུ་སྒྱུར་ཅིག་། དོན་ལྷག་པར་སྙེགས་པ་མེད་པ་རྣམས་ནི་ཚིག་གི་ལྷད་ཀྱིས་བསྣན་མི་དགོས་ཀྱིས་དོན་བཞིན་དུ་ཐོགས་ཤིག་།,"20. If one translates the prefixes pari, sam, upa and the others, which also may have the function of ornaments, the method should be to construe them in accordance with the meaning and translate them in accordance with its Indian word, so as to produce in Tibetan yoṅs su, yaṅ dag pa  and ñe ba. If no additional meaning is attained, it is not necessary to multiply the construction of the translated term, one should establish the word in accordance with the meaning.",-
0089c962fdf844feb826cf0537642959,,-,,རྣམ་གྲངས་སུ་གཏོགས་པའི་ཚིག་རྣམས་ནི་མ་འདོམས་ན་མིང་གང་བོད་སྐད་དུ་སྤྱིར་གྲགས་ཤིང་ཚིག་ཏུ་གར་བདེ་བར་གདགས་སོ་༎ འདོམས་ན་སོ་སོར་བཏགས་པ་བཞིན ༼༣༽ དུ་ཐོགས་ཤིག་།,"21. As for words that belong to a list of related term or synonyms, if the word in question is not closely related, one should establish an equivalent term which is a general word in Tibetan and in accordance with good usage. If it is closely related as a synonym of other terms in the list one should employ the one Tibetan term which designate each of the Indian synonyms.",-
3f20de85947346f99eb88bf718e0e2bb,,-,,སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་དང་ཉན་ཐོས་ལ་སོགས་པ་ཞེ་ས༥དང་སྐོ་ལོང་གི་ཚིག་གི་རིམ་པ་ནི་སངས་རྒྱས་ལ་ཞེ་སའི་ཚིག་ཏུ་བསྒྱུར་།,"22. Concerning the degrees of respectful expressions, and expressions relating to a particular status, as concerned with the Buddhas, the Bodhisattvas or the Śrāvakas: One should translate employing the respectful expressions as related to the Buddha,","པ༔་བ་དིསྤོསིཏིཨོ ༼༢༽སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་དང་། ཉན་ཐོས་རྣམས་ལ་རྗེ་ས་?་དང་?་རྐོ་? ༼་་་༽ པརཏ་ཨོཕ༹་ལིནེ་མིསསིང ༡ར༣༔་དང་རིམ་པ་ནི་རྗེ་སའི་ཚིག་ཏུ་བསྒྱུར་རོ་༎པ ༥༔་“༢.་ཊྲནསླཏེ་བུདདྷ,་བོདྷིསཏཏབ༹་ཨནད་Śརབ༹ཀ་ཅོནཅེརྣིང་ཐེ་རེསྤེཅཏ,་རྐོ་་་་་ཎ ༡༢་ཨནད་ཨོརྡེར་ཨིནཏོ་རེསྤེཅཏཕུ༹ལ་ཝོརདས༈"
aec1281b04044d4fb9304f8e9f6206c0,,-,,གཞན་ལ་ཚིག་འབྲིང་པོ་མན་ཚད་ཙམ་དུ་བྱས་ཏེ༦། སྔོན་ལྷ་སྲས་ཡབ་ཀྱི་སྤྱན་སྔར་མཁན་པོ་དང་ལོ་ཙཱ་བ་མཁས་པ་འཚོགས་པས་། དྷརམམ་དཀོན་མཆོག ༼༤༽ སྤྲིན་དང་། ལངཀར་གཤེགས་པ་བསྒྱུར་ཏེ་། གཏན་ལ་ཕབ་པའི་ལུགས་བཞིན་དུ་སྒྱུར་ཅིག་།,"23. while in other cases, when concerned with the middle and lower forms of respectful expressions, one should translate in accordance with the principles codified by the translations of the Dharma scriptures of the Ratnamegha and the Laṅkāvatāra as made earlier by the learned scholars and analysts assembled before the Father of the Divine Son that is, the now ruling monarch.",གཞན་ལ་ཚིག་འབྲིང་པོ་མན་ཆད་ཙམ་དུ་བྱའོ་།Fཨོར་ཨོཐེརས་ཨུསེ་ཏེརམས་ཕ༹ྲོམ་མེདིཨུམ་དོཝནྭརདས༈”པ༔་བ་དིསྤོསིཏིཨོ ༼༣༽གཞན་ནི་ཡབ་མྱེས་ཀྱི་སྐུ་རིང་ལ་། མཁན་པོ་དང་ལོ་ཙ་བས་དར་མ་དཀོན་མཆོག་སྤྲིན་དང་། ལང་དཀར་གཤེགས་པ་བསྒྱུར་ཏེ་གཏན་ལ་ཕབ་པའི་ལུགས་བཞིན་དུ་སྒྱུརད་ཅིག་།པ ༥༔་“༣.་ཨཱས་ཕོ༹ར་ཐེ་རེསཏ་ཏྲནསླཏེ་ཨིན་ཐེ་སམེ་ཝཡ་ཨས་ཌརམདཀོནམཆོགསྤྲིན་ཨནད་ལངཀརགཤེགསཔ་ཧད་བེཨེན་དོནེ་བཡ་ཐེ་མཁནཔོ་ཨནད་ཐེ་ལོཙབ་ཨིན་ཐེ་ཏིམེ་ཨོཕ༹་ཐེ་ཨནཅེསྟོརས༈་ཎ ༡༣”
